album,song,lyrics
Speak Now ,Mean,"But someday, I'll be living in a big old city"
Speak Now ,Mean,"And all you're ever gonna be is mean, yeah"
Speak Now ,Mean,"Someday, I'll be big enough so you can't hit me"
Speak Now ,Mean,And all you're ever gonna be is mean
Speak Now ,Mean,Why you gotta be so mean?
Speak Now ,Mean,"Someday, I'll be living in a big old city"
Speak Now ,Mean,(Why you gotta be so mean?)
Speak Now ,Mean,And all you're ever gonna be is mean
Speak Now ,Mean,(Why you gotta be so mean?)
Speak Now ,Mean,"Someday, I'll be big enough so you can't hit me"
Speak Now ,Mean,(Why you gotta be so mean?)
Speak Now ,Mean,And all you're ever gonna be is mean
Speak Now ,Mean,Why you gotta be so mean?
Speak Now ,The Story of Us,"I used to think one day, we'd tell the story of us"
Speak Now ,The Story of Us,"How we met, and the sparks flew instantly"
Speak Now ,The Story of Us,"And people would say, they're the lucky ones"
Speak Now ,The Story of Us,I used to know my place was a spot next to you
Speak Now ,The Story of Us,Now I'm searching the room for an empty seat
Speak Now ,The Story of Us,"'Cause lately, I don't even know what page you're on"
Speak Now ,The Story of Us,"Oh, a simple complication"
Speak Now ,The Story of Us,Miscommunications lead to fallout
Speak Now ,The Story of Us,So many things that I wish you knew
Speak Now ,The Story of Us,"So many walls up, I can't break through"
Speak Now ,The Story of Us,Now I'm standing alone in a crowded room
Speak Now ,The Story of Us,And we're not speaking
Speak Now ,The Story of Us,And I'm dying to know
Speak Now ,The Story of Us,Is it killing you like it's killing me?
Speak Now ,The Story of Us,"Yeah, I don't know what to say"
Speak Now ,The Story of Us,Since the twist of fate when it all broke down
Speak Now ,The Story of Us,And the story of us looks a lot like a tragedy now
Speak Now ,The Story of Us,Next chapter
Speak Now ,The Story of Us,How'd we end up this way?
Speak Now ,The Story of Us,See me nervously pulling at my clothes and trying to look busy
Speak Now ,The Story of Us,And you're doing your best to avoid me
Speak Now ,The Story of Us,"I'm starting to think one day, I'll tell the story of us"
Speak Now ,The Story of Us,How I was losing my mind when I saw you here
Speak Now ,The Story of Us,But you held your pride like you should've held me
Speak Now ,The Story of Us,Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified
Speak Now ,The Story of Us,"Oh, I'm scared to see the ending"
Speak Now ,The Story of Us,Why are we pretending this is nothing?
Speak Now ,The Story of Us,"I'd tell you I miss you, but I don't know how"
Speak Now ,The Story of Us,I've never heard silence quite this loud
Speak Now ,The Story of Us,Now I'm standing alone in a crowded room
Speak Now ,The Story of Us,And we're not speaking
Speak Now ,The Story of Us,And I'm dying to know
Speak Now ,The Story of Us,Is it killing you like it's killing me?
Speak Now ,The Story of Us,"Yeah, and I don't know what to say"
Speak Now ,The Story of Us,"Since the twist of fate, when it all broke down"
Speak Now ,The Story of Us,And the story of us looks a lot like a tragedy now
Speak Now ,The Story of Us,This is looking like a contest
Speak Now ,The Story of Us,Of who can act like they care less
Speak Now ,The Story of Us,But I liked it better when you were on my side
Speak Now ,The Story of Us,The battle's in your hands now
Speak Now ,The Story of Us,But I would lay my armor down
Speak Now ,The Story of Us,If you say you'd rather love than fight
Speak Now ,The Story of Us,So many things that you wish I knew
Speak Now ,The Story of Us,But the story of us might be ending soon
Speak Now ,The Story of Us,Now I'm standing alone in a crowded room
Speak Now ,The Story of Us,And we're not speaking
Speak Now ,The Story of Us,And I'm dying to know
Speak Now ,The Story of Us,Is it killing you like it's killing me?
Speak Now ,The Story of Us,"Yeah, and I don't know what to say"
Speak Now ,The Story of Us,"Since the twist of fate, when it all broke down"
Speak Now ,The Story of Us,"And the story of us looks a lot like a tragedy now, now, now"
Speak Now ,The Story of Us,And we're not speaking
Speak Now ,The Story of Us,And I'm dying to know
Speak Now ,The Story of Us,"Is it killing you like it's killing me, yeah?"
Speak Now ,The Story of Us,I don't know what to say since the twist of fate
Speak Now ,The Story of Us,'Cause we're going down
Speak Now ,The Story of Us,And the story of us looks a lot like a tragedy now
Speak Now ,The Story of Us,The End
Speak Now ,Never Grow Up,Your little hand's wrapped around my finger
Speak Now ,Never Grow Up,And it's so quiet in the world tonight
Speak Now ,Never Grow Up,Your little eyelids flutter cause you're dreaming
Speak Now ,Never Grow Up,"So I tuck you in, turn on your favorite night light"
Speak Now ,Never Grow Up,"To you everything's funny, you got nothing to regret"
Speak Now ,Never Grow Up,"I'd give all I have, honey"
Speak Now ,Never Grow Up,If you could stay like that
Speak Now ,Never Grow Up,"Oh darling, don't you ever grow up"
Speak Now ,Never Grow Up,"Don't you ever grow up, just stay this little"
Speak Now ,Never Grow Up,"Oh darling, don't you ever grow up"
Speak Now ,Never Grow Up,"Don't you ever grow up, it could stay this simple"
Speak Now ,Never Grow Up,"I won't let nobody hurt you, won't let no one break your heart"
Speak Now ,Never Grow Up,And no one will desert you
Speak Now ,Never Grow Up,"Just try to never grow up, never grow up"
Speak Now ,Never Grow Up,You're in the car on the way to the movies
Speak Now ,Never Grow Up,And you're mortified your mom's dropping you off
Speak Now ,Never Grow Up,"At fourteen, there's just so much you can't do"
Speak Now ,Never Grow Up,And you can't wait to move out someday and call your own shots
Speak Now ,Never Grow Up,But don't make her drop you off around the block
Speak Now ,Never Grow Up,Remember that she's getting older too
Speak Now ,Never Grow Up,And don't lose the way that you dance around in your pj's getting ready for school
Speak Now ,Never Grow Up,Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified
Speak Now ,Never Grow Up,"Oh darling, don't you ever grow up"
Speak Now ,Never Grow Up,"Don't you ever grow up, just stay this little"
Speak Now ,Never Grow Up,"Oh darling, don't you ever grow up"
Speak Now ,Never Grow Up,"Don't you ever grow up, it could stay this simple"
Speak Now ,Never Grow Up,"No one's ever burned you, nothing's ever left you scarred"
Speak Now ,Never Grow Up,"And even though you want to, just try to never grow up"
Speak Now ,Never Grow Up,Take pictures in your mind of your childhood room
Speak Now ,Never Grow Up,Memorize what it sounded like when your dad gets home
Speak Now ,Never Grow Up,"Remember the footsteps, remember the words said"
Speak Now ,Never Grow Up,And all your little brother's favorite songs
Speak Now ,Never Grow Up,I just realized everything I have is someday gonna be gone
Speak Now ,Never Grow Up,So here I am in my new apartment
Speak Now ,Never Grow Up,"In a big city, they just dropped me off"
Speak Now ,Never Grow Up,It's so much colder than I thought it would be
Speak Now ,Never Grow Up,So I tuck myself in and turn my night light on
Speak Now ,Never Grow Up,Wish I'd never grown up
Speak Now ,Never Grow Up,I wish I'd never grown up
Speak Now ,Never Grow Up,"Oh, I don't wanna grow up, wish I'd never grown up"
Speak Now ,Never Grow Up,I could still be little
Speak Now ,Never Grow Up,"Oh, I don't wanna grow up, wish I'd never grown up"
Speak Now ,Never Grow Up,It could still be simple
Speak Now ,Never Grow Up,"Oh darling, don't you ever grow up"
Speak Now ,Never Grow Up,"Don't you ever grow up, just stay this little"
Speak Now ,Never Grow Up,"Oh darling, don't you ever grow up"
Speak Now ,Never Grow Up,"Don't you ever grow up, it could stay this simple"
Speak Now ,Never Grow Up,Won't let nobody hurt you
Speak Now ,Never Grow Up,Won't let no one break your heart
Speak Now ,Never Grow Up,"And even though you want to, please try to never grow up"
Speak Now ,Never Grow Up,"Oh, don't you ever grow up"
Speak Now ,Never Grow Up,"Oh, never grow up, just never grow up"
Speak Now ,Enchanted,There I was again tonight
Speak Now ,Enchanted,"Forcing laughter, faking smiles"
Speak Now ,Enchanted,"Same old tired, lonely place"
Speak Now ,Enchanted,"Walls of insincerity, shifting eyes and vacancy"
Speak Now ,Enchanted,Vanished when I saw your face
Speak Now ,Enchanted,"All I can say is, it was enchanting to meet you"
Speak Now ,Enchanted,"Your eyes whispered, ""Have we met?"""
Speak Now ,Enchanted,'Cross the room your silhouette
Speak Now ,Enchanted,Starts to make its way to me
Speak Now ,Enchanted,The playful conversation starts
Speak Now ,Enchanted,Counter all your quick remarks
Speak Now ,Enchanted,Like passing notes in secrecy
Speak Now ,Enchanted,And it was enchanting to meet you
Speak Now ,Enchanted,"All I can say is, I was enchanted to meet you"
Speak Now ,Enchanted,This night is sparkling
Speak Now ,Enchanted,Don't you let it go
Speak Now ,Enchanted,I'm wonderstruck
Speak Now ,Enchanted,Blushing all the way home
Speak Now ,Enchanted,I'll spend forever
Speak Now ,Enchanted,Wondering if you knew
Speak Now ,Enchanted,I was enchanted to meet you
Speak Now ,Enchanted,Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified
Speak Now ,Enchanted,Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified
Speak Now ,Enchanted,Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified
Speak Now ,Enchanted,Nardo Wick 'Who Want Smoke??' (Live Performance) | Open Mic
Speak Now ,Enchanted,Nardo Wick 'Who Want Smoke??' (Live Performance) | Open Mic
Speak Now ,Enchanted,Kiana Ledé 'Ur Best Friend' Official Lyrics & Meaning | Verified
Speak Now ,Enchanted,Kiana Ledé 'Ur Best Friend' Official Lyrics & Meaning | Verified
Speak Now ,Enchanted,The lingering question kept me up
Speak Now ,Enchanted,"2AM, who do you love?"
Speak Now ,Enchanted,I wonder 'til I'm wide awake
Speak Now ,Enchanted,And now I'm pacing back and forth
Speak Now ,Enchanted,Wishing you were at my door
Speak Now ,Enchanted,"I'd open up and you would say, ""Hey"""
Speak Now ,Enchanted,It was enchanting to meet you
Speak Now ,Enchanted,All I know is I was enchanted to meet you
Speak Now ,Enchanted,This night is sparkling
Speak Now ,Enchanted,Don't you let it go
Speak Now ,Enchanted,I'm wonderstruck
Speak Now ,Enchanted,Blushing all the way home
Speak Now ,Enchanted,I'll spend forever
Speak Now ,Enchanted,Wondering if you knew
Speak Now ,Enchanted,This night is flawless
Speak Now ,Enchanted,Don't you let it go
Speak Now ,Enchanted,I'm wonderstruck
Speak Now ,Enchanted,Dancing around all alone
Speak Now ,Enchanted,I'll spend forever
Speak Now ,Enchanted,Wondering if you knew
Speak Now ,Enchanted,I was enchanted to meet you
Speak Now ,Enchanted,This is me praying that
Speak Now ,Enchanted,This was the very first page
Speak Now ,Enchanted,Not where the storyline ends
Speak Now ,Enchanted,My thoughts will echo your name
Speak Now ,Enchanted,Until I see you again
Speak Now ,Enchanted,These are the words I held back
Speak Now ,Enchanted,As I was leaving too soon
Speak Now ,Enchanted,I was enchanted to meet you
Speak Now ,Enchanted,Please don't be in love
Speak Now ,Enchanted,With someone else
Speak Now ,Enchanted,Please don't have somebody
Speak Now ,Enchanted,Waiting on you
Speak Now ,Enchanted,Please don't be in love (Ooh)
Speak Now ,Enchanted,With someone else
Speak Now ,Enchanted,"Please don't have somebody (Ooh, hey)"
Speak Now ,Enchanted,Waiting on you
Speak Now ,Enchanted,This night is sparkling
Speak Now ,Enchanted,Don't you let it go
Speak Now ,Enchanted,I'm wonderstruck
Speak Now ,Enchanted,Blushing all the way home
Speak Now ,Enchanted,I'll spend forever
Speak Now ,Enchanted,Wondering if you knew
Speak Now ,Enchanted,This night is flawless (Please don't be in love with someone else)
Speak Now ,Enchanted,Don't you let it go
Speak Now ,Enchanted,I'm wonderstruck (Please don't have somebody waiting on you)
Speak Now ,Enchanted,Dancing around all alone
Speak Now ,Enchanted,I'll spend forever (Please don't be in love with someone else)
Speak Now ,Enchanted,Wondering if you knew
Speak Now ,Enchanted,I was enchanted to meet you
Speak Now ,Enchanted,Please don't be in love
Speak Now ,Enchanted,With someone else
Speak Now ,Enchanted,Please don't have somebody
Speak Now ,Enchanted,Waiting on you
Speak Now ,Better Than Revenge,Now go stand in the corner and think about what you did
Speak Now ,Better Than Revenge,"Ha, time for a little revenge"
Speak Now ,Better Than Revenge,The story starts when it was hot and it was summer and
Speak Now ,Better Than Revenge,"I had it all, I had him right there where I wanted him"
Speak Now ,Better Than Revenge,"She came along, got him alone and let's hear the applause"
Speak Now ,Better Than Revenge,"She took him faster than you can say ""Sabotage"""
Speak Now ,Better Than Revenge,"I never saw it coming, wouldn't have suspected it"
Speak Now ,Better Than Revenge,I underestimated just who I was dealing with
Speak Now ,Better Than Revenge,She had to know the pain was beating on me like a drum
Speak Now ,Better Than Revenge,She underestimated just who she was stealing from
Speak Now ,Better Than Revenge,She's not a saint and she's not what you think
Speak Now ,Better Than Revenge,"She's an actress, whoa"
Speak Now ,Better Than Revenge,She's better known for the things that she does
Speak Now ,Better Than Revenge,"On the mattress, whoa"
Speak Now ,Better Than Revenge,Soon she's gonna find stealing other people's toys
Speak Now ,Better Than Revenge,On the playground won't make you many friends
Speak Now ,Better Than Revenge,"She should keep in mind, she should keep in mind"
Speak Now ,Better Than Revenge,"There is nothing I do better than revenge, ha"
Speak Now ,Better Than Revenge,She looks at life like it's a party and she's on the list
Speak Now ,Better Than Revenge,She looks at me like I'm a trend and she's so over it
Speak Now ,Better Than Revenge,I think her ever-present frown is a little troubling
Speak Now ,Better Than Revenge,And she thinks I'm psycho 'cause I like to rhyme her name with things
Speak Now ,Better Than Revenge,But sophistication isn't what you wear or who you know
Speak Now ,Better Than Revenge,Or pushing people down to get you where you wanna go
Speak Now ,Better Than Revenge,"Oh, they didn't teach you that in prep school so it's up to me"
Speak Now ,Better Than Revenge,But no amount of vintage dresses gives you dignity
Speak Now ,Better Than Revenge,(Think about what you did)
Speak Now ,Better Than Revenge,Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified
Speak Now ,Better Than Revenge,She's not a saint and she's not what you think
Speak Now ,Better Than Revenge,"She's an actress, whoa"
Speak Now ,Better Than Revenge,She's better known for the things that she does
Speak Now ,Better Than Revenge,"On the mattress, whoa"
Speak Now ,Better Than Revenge,Soon she's gonna find stealing other people's toys
Speak Now ,Better Than Revenge,On the playground won't make you many friends
Speak Now ,Better Than Revenge,"She should keep in mind, she should keep in mind"
Speak Now ,Better Than Revenge,"There is nothing I do better than revenge, ha"
Speak Now ,Better Than Revenge,"I'm just another thing for you to roll your eyes at, honey"
Speak Now ,Better Than Revenge,"You might have him, but haven't you heard?"
Speak Now ,Better Than Revenge,"I'm just another thing for you to roll your eyes at, honey"
Speak Now ,Better Than Revenge,"You might have him, but I always get the last word"
Speak Now ,Better Than Revenge,"Whoa, whoa-ah-oh"
Speak Now ,Better Than Revenge,She's not a saint and she's not what you think
Speak Now ,Better Than Revenge,"She's an actress, whoa (She deserved it)"
Speak Now ,Better Than Revenge,She's better known for the things that she does
Speak Now ,Better Than Revenge,"On the mattress, whoa"
Speak Now ,Better Than Revenge,Soon she's gonna find stealing other people's toys
Speak Now ,Better Than Revenge,On the playground won't make you many friends
Speak Now ,Better Than Revenge,"She should keep in mind, she should keep in mind"
Speak Now ,Better Than Revenge,"There is nothing I do better than revenge, ha"
Speak Now ,Better Than Revenge,Do you still feel like you know what you're doing?
Speak Now ,Better Than Revenge,"'Cause I don't think you do, oh (No, no, no, no)"
Speak Now ,Better Than Revenge,Do you still feel like you know what you're doing? (No)
Speak Now ,Better Than Revenge,"I don't think you do, I don't think you do"
Speak Now ,Better Than Revenge,"Let's hear the applause (Come on, come on)"
Speak Now ,Better Than Revenge,"Come on, show me how much better you are"
Speak Now ,Better Than Revenge,"(So much better, yeah?)"
Speak Now ,Better Than Revenge,See you deserve some applause
Speak Now ,Better Than Revenge,'Cause you're so much better
Speak Now ,Better Than Revenge,"She took him faster than you could say ""Sabotage"""
Speak Now ,Innocent,I guess you really did it this time
Speak Now ,Innocent,Left yourself in your war path
Speak Now ,Innocent,Lost your balance on a tightrope
Speak Now ,Innocent,Lost your mind trying to get it back
Speak Now ,Innocent,Wasn't it easier in your lunchbox days?
Speak Now ,Innocent,Always a bigger bed to crawl into
Speak Now ,Innocent,Wasn't it beautiful when you believed in everything
Speak Now ,Innocent,And everybody believed in you?
Speak Now ,Innocent,"It's alright, just wait and see"
Speak Now ,Innocent,Your string of lights is still bright to me
Speak Now ,Innocent,"Oh, who you are is not where you've been"
Speak Now ,Innocent,"You're still an innocent, you're still an innocent"
Speak Now ,Innocent,Did some things you can't speak of
Speak Now ,Innocent,But at night you live it all again
Speak Now ,Innocent,You wouldn't be shattered on the floor now
Speak Now ,Innocent,If only you had seen what you know now then
Speak Now ,Innocent,Wasn't it easier in your firefly-catching days?
Speak Now ,Innocent,When everything out of reach
Speak Now ,Innocent,Someone bigger brought down to you
Speak Now ,Innocent,Wasn't it beautiful running wild 'til you fell asleep
Speak Now ,Innocent,Before the monsters caught up to you?
Speak Now ,Innocent,Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified
Speak Now ,Innocent,"It's alright, just wait and see"
Speak Now ,Innocent,Your string of lights is still bright to me
Speak Now ,Innocent,"Oh, who you are is not where you've been"
Speak Now ,Innocent,You're still an innocent
Speak Now ,Innocent,"It's okay, life is a tough crowd"
Speak Now ,Innocent,32 and still growing up now
Speak Now ,Innocent,Who you are is not what you did
Speak Now ,Innocent,You're still an innocent
Speak Now ,Innocent,Time turns flames to embers
Speak Now ,Innocent,You'll have new Septembers
Speak Now ,Innocent,Every one of us has messed up too
Speak Now ,Innocent,Lives change like the weather
Speak Now ,Innocent,I hope you remember
Speak Now ,Innocent,"Today is never too late to be brand new, oh"
Speak Now ,Innocent,"It's alright, just wait and see"
Speak Now ,Innocent,Your string of lights is still bright to me
Speak Now ,Innocent,"Oh, who you are is not where you've been"
Speak Now ,Innocent,You're still an innocent
Speak Now ,Innocent,"It's okay, life is a tough crowd"
Speak Now ,Innocent,32 and still growing up now
Speak Now ,Innocent,Who you are is not what you did
Speak Now ,Innocent,"You're still an innocent, you're still an innocent"
Speak Now ,Innocent,"Lost your balance on a tightrope, oh"
Speak Now ,Innocent,It's never too late to get it back
Speak Now ,Haunted,You and I walk a fragile line
Speak Now ,Haunted,I have known it all this time
Speak Now ,Haunted,But I never thought I'd live to see it break
Speak Now ,Haunted,It's getting dark and it's all too quiet
Speak Now ,Haunted,And I can't trust anything now
Speak Now ,Haunted,And it's coming over you like it's all a big mistake
Speak Now ,Haunted,"Whoa, holding my breath"
Speak Now ,Haunted,Won't lose you again
Speak Now ,Haunted,Something's made your eyes go cold
Speak Now ,Haunted,"Come on, come on, don't leave me like this"
Speak Now ,Haunted,I thought I had you figured out
Speak Now ,Haunted,Something's gone terribly wrong
Speak Now ,Haunted,You're all I wanted
Speak Now ,Haunted,"Come on, come on, don't leave me like this"
Speak Now ,Haunted,I thought I had you figured out
Speak Now ,Haunted,Can't breathe whenever you're gone
Speak Now ,Haunted,"Can't turn back now, I'm haunted"
Speak Now ,Haunted,Stood there and watched you walk away
Speak Now ,Haunted,From everything we had
Speak Now ,Haunted,But I still mean every word I said to you
Speak Now ,Haunted,He will try to take away my pain
Speak Now ,Haunted,And he just might make me smile
Speak Now ,Haunted,"But the whole time, I'm wishing it was you instead"
Speak Now ,Haunted,"Oh, holding my breath"
Speak Now ,Haunted,Won't see you again
Speak Now ,Haunted,Something keeps me holding onto nothing
Speak Now ,Haunted,"Come on, come on, don't leave me like this"
Speak Now ,Haunted,I thought I had you figured out
Speak Now ,Haunted,Something's gone terribly wrong
Speak Now ,Haunted,You're all I wanted
Speak Now ,Haunted,"Come on, come on, don't leave me like this"
Speak Now ,Haunted,I thought I had you figured out
Speak Now ,Haunted,Can't breathe whenever you're gone
Speak Now ,Haunted,"Can't turn back now, I'm haunted"
Speak Now ,Haunted,I know
Speak Now ,Haunted,I know
Speak Now ,Haunted,I just know
Speak Now ,Haunted,"You're not gone, you can't be gone, no"
Speak Now ,Haunted,"Come on, come on, don't leave me like this"
Speak Now ,Haunted,I thought I had you figured out
Speak Now ,Haunted,Something's gone terribly wrong
Speak Now ,Haunted,Won't finish what you started
Speak Now ,Haunted,"Come on, come on, don't leave me like this"
Speak Now ,Haunted,I thought I had you figured out
Speak Now ,Haunted,Can't breathe whenever you're gone
Speak Now ,Haunted,"Can't go back, I'm haunted"
Speak Now ,Haunted,"(Oh, oh, oh, oh, oh, oh, oh, oh, oh)"
Speak Now ,Haunted,You and I walk a fragile line
Speak Now ,Haunted,I have known it all this time
Speak Now ,Haunted,Never ever thought I'd see it break
Speak Now ,Haunted,Never thought I'd see it
Speak Now ,Last Kiss,I still remember the look on your face
Speak Now ,Last Kiss,Lit through the darkness at 1:58
Speak Now ,Last Kiss,The words that you whispered
Speak Now ,Last Kiss,For just us to know
Speak Now ,Last Kiss,You told me you loved me
Speak Now ,Last Kiss,So why did you go away?
Speak Now ,Last Kiss,Away
Speak Now ,Last Kiss,I do recall now the smell of the rain
Speak Now ,Last Kiss,Fresh on the pavement
Speak Now ,Last Kiss,I ran off the plane
Speak Now ,Last Kiss,That July 9th
Speak Now ,Last Kiss,The beat of your heart
Speak Now ,Last Kiss,It jumps through your shirt
Speak Now ,Last Kiss,I can still feel your arms
Speak Now ,Last Kiss,But now I'll go sit on the floor
Speak Now ,Last Kiss,Wearing your clothes
Speak Now ,Last Kiss,All that I know is
Speak Now ,Last Kiss,I don't know how to be something you miss
Speak Now ,Last Kiss,I never thought we'd have a last kiss
Speak Now ,Last Kiss,Never imagined we'd end like this
Speak Now ,Last Kiss,"Your name, forever the name on my lips"
Speak Now ,Last Kiss,I do remember the swing of your step
Speak Now ,Last Kiss,"The life of the party, you're showing off again"
Speak Now ,Last Kiss,And I roll my eyes and then
Speak Now ,Last Kiss,You pull me in
Speak Now ,Last Kiss,I'm not much for dancing
Speak Now ,Last Kiss,But for you I did
Speak Now ,Last Kiss,"Because I love your handshake, meeting my father"
Speak Now ,Last Kiss,I love how you walk with your hands in your pockets
Speak Now ,Last Kiss,How you'd kiss me when I was in the middle of saying something
Speak Now ,Last Kiss,There's not a day I don't miss those rude interruptions
Speak Now ,Last Kiss,And I'll go sit on the floor
Speak Now ,Last Kiss,Wearing your clothes
Speak Now ,Last Kiss,All that I know is
Speak Now ,Last Kiss,I don't know how to be something you miss
Speak Now ,Last Kiss,I never thought we'd have a last kiss
Speak Now ,Last Kiss,I never imagined we'd end like this
Speak Now ,Last Kiss,"Your name, forever the name on my lips, ooh"
Speak Now ,Last Kiss,So I'll watch your life in pictures like I used to watch you sleep
Speak Now ,Last Kiss,And I feel you forget me like I used to feel you breathe
Speak Now ,Last Kiss,And I keep up with our old friends just to ask them how you are
Speak Now ,Last Kiss,Hope it's nice where you are
Speak Now ,Last Kiss,And I hope the sun shines
Speak Now ,Last Kiss,And it's a beautiful day
Speak Now ,Last Kiss,And something reminds you
Speak Now ,Last Kiss,You wish you had stayed
Speak Now ,Last Kiss,You can plan for a change in weather and time
Speak Now ,Last Kiss,But I never planned on you changing your mind
Speak Now ,Last Kiss,So I'll go sit on the floor
Speak Now ,Last Kiss,Wearing your clothes
Speak Now ,Last Kiss,All that I know is
Speak Now ,Last Kiss,I don't know how to be something you miss
Speak Now ,Last Kiss,I never thought we'd have a last kiss
Speak Now ,Last Kiss,Never imagined we'd end like this
Speak Now ,Last Kiss,"Your name, forever the name on my lips"
Speak Now ,Last Kiss,Just like our last kiss
Speak Now ,Last Kiss,Forever the name on my lips
Speak Now ,Last Kiss,Forever the name on my lips
Speak Now ,Last Kiss,Just like our last
Speak Now ,Long Live,"I said, remember this moment, in the back of my mind"
Speak Now ,Long Live,The time we stood with our shaking hands
Speak Now ,Long Live,The crowds in stands went wild
Speak Now ,Long Live,We were the kings and the queens
Speak Now ,Long Live,And they read off our names
Speak Now ,Long Live,The night you danced like you knew our lives
Speak Now ,Long Live,Would never be the same
Speak Now ,Long Live,You held your head like a hero
Speak Now ,Long Live,On a history book page
Speak Now ,Long Live,It was the end of a decade
Speak Now ,Long Live,But the start of an age
Speak Now ,Long Live,Long live the walls we crashed through
Speak Now ,Long Live,All the kingdom lights shined just for me and you
Speak Now ,Long Live,"I was screaming, long live all the magic we made"
Speak Now ,Long Live,And bring on all the pretenders
Speak Now ,Long Live,"One day, we will be remembered"
Speak Now ,Long Live,"I said, remember this feeling"
Speak Now ,Long Live,I passed the pictures around
Speak Now ,Long Live,Of all the years that we stood there
Speak Now ,Long Live,On the side-lines wishing for right now
Speak Now ,Long Live,We are the kings and the queens
Speak Now ,Long Live,You traded your baseball cap for a crown
Speak Now ,Long Live,When they gave us our trophies
Speak Now ,Long Live,And we held them up for our town
Speak Now ,Long Live,And the cynics were outraged
Speak Now ,Long Live,"Screaming, ""This is absurd"""
Speak Now ,Long Live,"'Cause for a moment, a band of thieves"
Speak Now ,Long Live,In ripped up jeans got to rule the world
Speak Now ,Long Live,Long live the walls we crashed through
Speak Now ,Long Live,All the kingdom lights shined just for me and you
Speak Now ,Long Live,"I was screaming, long live all the magic we made"
Speak Now ,Long Live,And bring on all the pretenders
Speak Now ,Long Live,I'm not afraid
Speak Now ,Long Live,Long live all the mountains we moved
Speak Now ,Long Live,I had the time of my life fighting dragons with you
Speak Now ,Long Live,"I was screaming, long live that look on your face"
Speak Now ,Long Live,And bring on all the pretenders
Speak Now ,Long Live,"One day, we will be remembered"
Speak Now ,Long Live,Hold on to spinning around
Speak Now ,Long Live,Confetti falls to the ground
Speak Now ,Long Live,May these memories break our fall
Speak Now ,Long Live,Will you take a moment?
Speak Now ,Long Live,Promise me this
Speak Now ,Long Live,That you'll stand by me forever
Speak Now ,Long Live,"But if, God forbid, fate should step in"
Speak Now ,Long Live,And force us into a goodbye
Speak Now ,Long Live,If you have children some day
Speak Now ,Long Live,When they point to the pictures
Speak Now ,Long Live,Please tell them my name
Speak Now ,Long Live,Tell them how the crowds went wild
Speak Now ,Long Live,Tell them how I hope they shine
Speak Now ,Long Live,Long live the walls we crashed through
Speak Now ,Long Live,"I had the time of my life, with you"
Speak Now ,Long Live,"Long, long live the walls we crashed through"
Speak Now ,Long Live,All the kingdom lights shined just for me and you
Speak Now ,Long Live,"I was screaming, long live all the magic we made"
Speak Now ,Long Live,And bring on all the pretenders
Speak Now ,Long Live,I'm not afraid
Speak Now ,Long Live,"Singing, long live all the mountains we moved"
Speak Now ,Long Live,I had the time of my life fighting dragons with you
Speak Now ,Long Live,"And long, long live that look on your face"
Speak Now ,Long Live,And bring on all the pretenders
Speak Now ,Long Live,"One day, we will be remembered"
Speak Now ,Ours,Elevator buttons and morning air
Speak Now ,Ours,Strangers' silence makes me want to take the stairs
Speak Now ,Ours,"If you were here, we'd laugh about their vacant stares"
Speak Now ,Ours,"But right now, my time is theirs"
Speak Now ,Ours,Seems like there's always someone who disapproves
Speak Now ,Ours,They'll judge it like they know about me and you
Speak Now ,Ours,And the verdict comes from those with nothing else to do
Speak Now ,Ours,"The jury's out, but my choice is you"
Speak Now ,Ours,So don't you worry your pretty little mind
Speak Now ,Ours,People throw rocks at things that shine
Speak Now ,Ours,And life makes love look hard
Speak Now ,Ours,"The stakes are high, the water's rough"
Speak Now ,Ours,But this love is ours
Speak Now ,Ours,You never know what people have up their sleeves
Speak Now ,Ours,Ghosts from your past gonna jump out at me
Speak Now ,Ours,Lurking in the shadows with their lip gloss smiles
Speak Now ,Ours,"But I don't care, 'cause right now, you're mine"
Speak Now ,Ours,And you'll say
Speak Now ,Ours,Don't you worry your pretty little mind
Speak Now ,Ours,People throw rocks at things that shine
Speak Now ,Ours,And life makes love look hard
Speak Now ,Ours,"The stakes are high, the water's rough"
Speak Now ,Ours,But this love is ours
Speak Now ,Ours,And it's not theirs to speculate if it's wrong
Speak Now ,Ours,"And your hands are tough, but they are where mine belong"
Speak Now ,Ours,And I'll fight their doubt and give you faith
Speak Now ,Ours,With this song for you
Speak Now ,Ours,'Cause I love the gap between your teeth
Speak Now ,Ours,And I love the riddles that you speak
Speak Now ,Ours,And any snide remarks from my father about your tattoos
Speak Now ,Ours,Will be ignored
Speak Now ,Ours,'Cause my heart is yours
Speak Now ,Ours,So don't you worry your pretty little mind
Speak Now ,Ours,People throw rocks at things that shine
Speak Now ,Ours,And life makes love look hard
Speak Now ,Ours,Don't you worry your pretty little mind
Speak Now ,Ours,People throw rocks at things that shine
Speak Now ,Ours,But they can't take what's ours
